Word,compound_lemmas
a-bit,abit;abits;a bit;a bits
on-the-road,ontheroad;ontheroads;on the road;on the roads
on-the-side,ontheside;onthesides;on the side;on the sides
on-the-spot,onthespot;onthespots;on the spot;on the spots
on-the-spur-of-the-moment,onthespurofthemoment;onthespurofthemoments;on the spur of the moment;on the spur of the moments
on-the-whole,onthewhole;onthewholes;on the whole;on the wholes
on-time,ontime;ontimes;on time;on times
on-track,ontrack;ontracks;on track;on tracks
once-again,onceagain;onceagains;once again;once agains
once-and-for-all,onceandforall;onceandforalls;once and for all;once and for alls
once-more,oncemore;oncemores;once more;once mores
once-upon-a-time,onceuponatime;onceuponatimes;once upon a time;once upon a times
one-after-another,oneafteranother;oneafteranothers;one after another;one after anothers
one-another,oneanother;oneanothers;one another;one anothers
one-at-a-time,oneatatime;oneatatimes;one at a time;one at a times
one-by-one,onebyone;onebyones;one by one;one by ones
one-day,oneday;onedays;one day;one days
one-of-a-kind,oneofakind;oneofakinds;one of a kind;one of a kinds
one-or-two,oneortwo;oneortwos;one or two;one or twos
one-way-or-another,onewayoranother;onewayoranothers;one way or another;one way or anothers
one-way-or-the-other,onewayortheother;onewayortheothers;one way or the other;one way or the others
open-up,openup;openups;open up;open ups
open-your-heart,openyourheart;openyourhearts;open your heart;open your hearts
operate-on-,operateon;operateons;operate on ;operate on s
operating-room,operatingroom;operatingrooms;operating room;operating rooms
or-anything,oranything;oranythings;or anything;or anythings
or-else,orelse;orelses;or else;or elses
or-not,ornot;ornots;or not;or nots
or-other,orother;orothers;or other;or others
or-so,orso;orsos;or so;or sos
or-two,ortwo;ortwos;or two;or twos
or-whatever,orwhatever;orwhatevers;or whatever;or whatevers
other-than,otherthan;otherthans;other than;other thans
other-than-that,otherthanthat;otherthanthats;other than that;other than thats
ought-to,oughtto;oughttos;ought to;ought tos
out-loud,outloud;outlouds;out loud;out louds
out-of,outof;outofs;out of;out ofs
out-of-control,outofcontrol;outofcontrols;out of control;out of controls
out-of-date,outofdate;outofdates;out of date;out of dates
out-of-nowhere,outofnowhere;outofnowheres;out of nowhere;out of nowheres
out-of-order,outoforder;outoforders;out of order;out of orders
out-of-place,outofplace;outofplaces;out of place;out of places
out-of-proportion,outofproportion;outofproportions;out of proportion;out of proportions
out-of-season,outofseason;outofseasons;out of season;out of seasons
out-of-shape,outofshape;outofshapes;out of shape;out of shapes
out-of-stock,outofstock;outofstocks;out of stock;out of stocks
out-of-the-blue,outoftheblue;outoftheblues;out of the blue;out of the blues
out-of-the-ordinary,outoftheordinary;outoftheordinarys;out of the ordinary;out of the ordinarys
out-of-tune,outoftune;outoftunes;out of tune;out of tunes
out-of-work,outofwork;outofworks;out of work;out of works
out-of-your-depth,outofyourdepth;outofyourdepths;out of your depth;out of your depths
overstay-your-welcome,overstayyourwelcome;overstayyourwelcomes;overstay your welcome;overstay your welcomes
owing-to,owingto;owingtos;owing to;owing tos
pace-yourself,paceyourself;paceyourselfs;pace yourself;pace yourselfs
pain-killer,painkiller;painkillers;pain killer;pain killers
paper-bindle,paperbindle;paperbindles;paper bindle;paper bindles
parking-lot,parkinglot;parkinglots;parking lot;parking lots
part-and-parcel,partandparcel;partandparcels;part and parcel;part and parcels
part-time,parttime;parttimes;part time;part times
pass-a-law,passalaw;passalaws;pass a law;pass a laws
pass-away,passaway;passaways;pass away;pass aways
pass-out,passout;passouts;pass out;pass outs
pave-the-way,pavetheway;pavetheways;pave the way;pave the ways
pay-off,payoff;payoffs;pay off;pay offs
pay-the-price,paytheprice;paytheprices;pay the price;pay the prices
peace-of-mind,peaceofmind;peaceofminds;peace of mind;peace of minds
peer-pressure,peerpressure;peerpressures;peer pressure;peer pressures
pen-pal,penpal;penpals;pen pal;pen pals
personal-hygiene,personalhygiene;personalhygienes;personal hygiene;personal hygienes
pharmacy-,pharmacy;pharmacys;pharmacy ;pharmacy s
phrasal-verb,phrasalverb;phrasalverbs;phrasal verb;phrasal verbs
pick-up-the-pieces,pickupthepieces;pickupthepiecess;pick up the pieces;pick up the piecess
pile-up,pileup;pileups;pile up;pile ups
pitch-a-tent,pitchatent;pitchatents;pitch a tent;pitch a tents
play-games,playgames;playgamess;play games;play gamess
play-it-by-ear,playitbyear;playitbyears;play it by ear;play it by ears
play-with-fire,playwithfire;playwithfires;play with fire;play with fires
pleased-to-meet-you,pleasedtomeetyou;pleasedtomeetyous;pleased to meet you;pleased to meet yous
point-of-view,pointofview;pointofviews;point of view;point of views
polar-bear,polarbear;polarbears;polar bear;polar bears
police-officer,policeofficer;policeofficers;police officer;police officers
police-station,policestation;policestations;police station;police stations
post-office,postoffice;postoffices;post office;post offices
potato-chip,potatochip;potatochips;potato chip;potato chips
prescription-,prescription;prescriptions;prescription ;prescription s
presence-of-mind,presenceofmind;presenceofminds;presence of mind;presence of minds
press-charges,presscharges;presschargess;press charges;press chargess
primary-crime-scene,primarycrimescene;primarycrimescenes;primary crime scene;primary crime scenes
prime-minister,primeminister;primeministers;prime minister;prime ministers
proper-noun,propernoun;propernouns;proper noun;proper nouns
prove-yourself,proveyourself;proveyourselfs;prove yourself;prove yourselfs
public-transportation,publictransportation;publictransportations;public transportation;public transportations
pull-a-muscle,pullamuscle;pullamuscles;pull a muscle;pull a muscles
pull-out,pullout;pullouts;pull out;pull outs
pull-over,pullover;pullovers;pull over;pull overs
pull-strings,pullstrings;pullstringss;pull strings;pull stringss
pull-up,pullup;pullups;pull up;pull ups
pull-your-weight,pullyourweight;pullyourweights;pull your weight;pull your weights
push-yourself,pushyourself;pushyourselfs;push yourself;push yourselfs
put-something-into-practice,putsomethingintopractice;putsomethingintopractices;put something into practice;put something into practices
put-your-feet-up,putyourfeetup;putyourfeetups;put your feet up;put your feet ups
put-your-foot-down,putyourfootdown;putyourfootdowns;put your foot down;put your foot downs
put-your-foot-in-your-mouth,putyourfootinyourmouth;putyourfootinyourmouths;put your foot in your mouth;put your foot in your mouths
put-your-mind-to-it,putyourmindtoit;putyourmindtoits;put your mind to it;put your mind to its
question-mark,questionmark;questionmarks;question mark;question marks
quite-a-bit,quiteabit;quiteabits;quite a bit;quite a bits
quite-a-few,quiteafew;quiteafews;quite a few;quite a fews
quite-a-while,quiteawhile;quiteawhiles;quite a while;quite a whiles
quotation-marks,quotationmarks;quotationmarkss;quotation marks;quotation markss
rain-forest,rainforest;rainforests;rain forest;rain forests
raise-your-voice,raiseyourvoice;raiseyourvoices;raise your voice;raise your voices
rather-than,ratherthan;ratherthans;rather than;rather thans
read-between-the-lines,readbetweenthelines;readbetweentheliness;read between the lines;read between the liness
reasonably-priced,reasonablypriced;reasonablypriceds;reasonably priced;reasonably priceds
recharge-your-batteries,rechargeyourbatteries;rechargeyourbatteriess;recharge your batteries;recharge your batteriess
regardless-of,regardlessof;regardlessofs;regardless of;regardless ofs
remote-control,remotecontrol;remotecontrols;remote control;remote controls
report-card,reportcard;reportcards;report card;report cards
retrace-your-steps,retraceyoursteps;retraceyourstepss;retrace your steps;retrace your stepss
return-to-normal,returntonormal;returntonormals;return to normal;return to normals
ring-a-bell,ringabell;ringabells;ring a bell;ring a bells
ring-hollow,ringhollow;ringhollows;ring hollow;ring hollows
rock-the-boat,rocktheboat;rocktheboats;rock the boat;rock the boats
role-model,rolemodel;rolemodels;role model;role models
roll-your-eyes,rollyoureyes;rollyoureyess;roll your eyes;roll your eyess
room-for-improvement,roomforimprovement;roomforimprovements;room for improvement;room for improvements
round-of-applause,roundofapplause;roundofapplauses;round of applause;round of applauses
routine-check-up,routinecheckup;routinecheckups;routine check up;routine check ups
rub-it-in,rubitin;rubitins;rub it in;rub it ins
run-around,runaround;runarounds;run around;run arounds
run-away,runaway;runaways;run away;run aways
run-out,runout;runouts;run out;run outs
run-wild,runwild;runwilds;run wild;run wilds
running-water,runningwater;runningwaters;running water;running waters
rush-hour,rushhour;rushhours;rush hour;rush hours
sad-to-say,sadtosay;sadtosays;sad to say;sad to says
safe-and-sound,safeandsound;safeandsounds;safe and sound;safe and sounds
safe-to-say,safetosay;safetosays;safe to say;safe to says
science-fiction,sciencefiction;sciencefictions;science fiction;science fictions
scrub-up,scrubup;scrubups;scrub up;scrub ups
second-opinion,secondopinion;secondopinions;second opinion;second opinions
secondary-crime-scene,secondarycrimescene;secondarycrimescenes;secondary crime scene;secondary crime scenes
secondary-school,secondaryschool;secondaryschools;secondary school;secondary schools
see-fit,seefit;seefits;see fit;see fits
see-sense,seesense;seesenses;see sense;see senses
see-that,seethat;seethats;see that;see thats
see-you,seeyou;seeyous;see you;see yous
see-you-later,seeyoulater;seeyoulaters;see you later;see you laters
see-you-soon,seeyousoon;seeyousoons;see you soon;see you soons
sell-like-hotcakes,selllikehotcakes;selllikehotcakess;sell like hotcakes;sell like hotcakess
sell-out,sellout;sellouts;sell out;sell outs
set-a-record,setarecord;setarecords;set a record;set a records
set-an-example,setanexample;setanexamples;set an example;set an examples
set-off,setoff;setoffs;set off;set offs
set-out,setout;setouts;set out;set outs
set-sail,setsail;setsails;set sail;set sails
set-the-table,setthetable;setthetables;set the table;set the tables
settle-down,settledown;settledowns;settle down;settle downs
settle-in,settlein;settleins;settle in;settle ins
shake-hands,shakehands;shakehandss;shake hands;shake handss
shake-your-head,shakeyourhead;shakeyourheads;shake your head;shake your heads
shed-light-on,shedlighton;shedlightons;shed light on;shed light ons
shed-tears,shedtears;shedtearss;shed tears;shed tearss
short-term,shortterm;shortterms;short term;short terms
show-off,showoff;showoffs;show off;show offs
show-up,showup;showups;show up;show ups
shut-your-mouth,shutyourmouth;shutyourmouths;shut your mouth;shut your mouths
sick-to-your-stomach,sicktoyourstomach;sicktoyourstomachs;sick to your stomach;sick to your stomachs
side-by-side,sidebyside;sidebysides;side by side;side by sides
side-effect,sideeffect;sideeffects;side effect;side effects
side-effects,sideeffects;sideeffectss;side effects;side effectss
sign-up,signup;signups;sign up;sign ups
single-parent,singleparent;singleparents;single parent;single parents
sleep-on-it,sleeponit;sleeponits;sleep on it;sleep on its
slip-away,slipaway;slipaways;slip away;slip aways
slip-out,slipout;slipouts;slip out;slip outs
slip-up,slipup;slipups;slip up;slip ups
slip-your-mind,slipyourmind;slipyourminds;slip your mind;slip your minds
slow-down,slowdown;slowdowns;slow down;slow downs
so-as-to,soasto;soastos;so as to;so as tos
so-called,socalled;socalleds;so called;so calleds
so-far,sofar;sofars;so far;so fars
so-to-speak,sotospeak;sotospeaks;so to speak;so to speaks
soap-opera,soapopera;soapoperas;soap opera;soap operas
social-networking,socialnetworking;socialnetworkings;social networking;social networkings
soft-drink,softdrink;softdrinks;soft drink;soft drinks
some-kind-of,somekindof;somekindofs;some kind of;some kind ofs
something-like,somethinglike;somethinglikes;something like;something likes
sooner-or-later,soonerorlater;soonerorlaters;sooner or later;sooner or laters
sort-of,sortof;sortofs;sort of;sort ofs
spare-time,sparetime;sparetimes;spare time;spare times
speak-up,speakup;speakups;speak up;speak ups
speak-volumes,speakvolumes;speakvolumess;speak volumes;speak volumess
speak-your-mind,speakyourmind;speakyourminds;speak your mind;speak your minds
speaks-for-itself,speaksforitself;speaksforitselfs;speaks for itself;speaks for itselfs
special-offer,specialoffer;specialoffers;special offer;special offers
split-up,splitup;splitups;split up;split ups
spread-out,spreadout;spreadouts;spread out;spread outs
spring-to-mind,springtomind;springtominds;spring to mind;spring to minds
spring-up,springup;springups;spring up;spring ups
stable-condition,stablecondition;stableconditions;stable condition;stable conditions
stand-a-chance,standachance;standachances;stand a chance;stand a chances
stand-back,standback;standbacks;stand back;stand backs
stand-in,standin;standins;stand in;stand ins
stand-out,standout;standouts;stand out;stand outs
stand-trial,standtrial;standtrials;stand trial;stand trials
stand-your-ground,standyourground;standyourgrounds;stand your ground;stand your grounds
standard-of-living,standardofliving;standardoflivings;standard of living;standard of livings
start-out,startout;startouts;start out;start outs
status-symbol,statussymbol;statussymbols;status symbol;status symbols
stay-behind,staybehind;staybehinds;stay behind;stay behinds
stay-on,stayon;stayons;stay on;stay ons
stay-out,stayout;stayouts;stay out;stay outs
stay-over,stayover;stayovers;stay over;stay overs
stay-put,stayput;stayputs;stay put;stay puts
stay-up,stayup;stayups;stay up;stay ups
steering-wheel,steeringwheel;steeringwheels;steering wheel;steering wheels
step-by-step,stepbystep;stepbysteps;step by step;step by steps
step-down,stepdown;stepdowns;step down;step downs
stick-out,stickout;stickouts;stick out;stick outs
stick-together,sticktogether;sticktogethers;stick together;stick togethers
stiff-drink,stiffdrink;stiffdrinks;stiff drink;stiff drinks
stock-market,stockmarket;stockmarkets;stock market;stock markets
stop-at-nothing,stopatnothing;stopatnothings;stop at nothing;stop at nothings
stop-over,stopover;stopovers;stop over;stop overs
strangely-enough,strangelyenough;strangelyenoughs;strangely enough;strangely enoughs
strike-a-balance,strikeabalance;strikeabalances;strike a balance;strike a balances
strike-a-match,strikeamatch;strikeamatchs;strike a match;strike a matchs
strong-language,stronglanguage;stronglanguages;strong language;strong languages
such-as,suchas;suchass;such as;such ass
sure-enough,sureenough;sureenoughs;sure enough;sure enoughs
swallow-your-pride,swallowyourpride;swallowyourprides;swallow your pride;swallow your prides
swimming-pool,swimmingpool;swimmingpools;swimming pool;swimming pools
t-shirt,tshirt;tshirts;t shirt;t shirts
table-tennis,tabletennis;tabletenniss;table tennis;table tenniss
take-a-deep-breath,takeadeepbreath;takeadeepbreaths;take a deep breath;take a deep breaths
take-a-risk,takearisk;takearisks;take a risk;take a risks
take-an-exam,takeanexam;takeanexams;take an exam;take an exams
take-charge,takecharge;takecharges;take charge;take charges
take-control,takecontrol;takecontrols;take control;take controls
take-effect,takeeffect;takeeffects;take effect;take effects
take-it-for-granted,takeitforgranted;takeitforgranteds;take it for granted;take it for granteds
take-it-from-me,takeitfromme;takeitfrommes;take it from me;take it from mes
take-its-toll,takeitstoll;takeitstolls;take its toll;take its tolls
take-off,takeoff;takeoffs;take off;take offs
take-over,takeover;takeovers;take over;take overs
take-part,takepart;takeparts;take part;take parts
take-place,takeplace;takeplaces;take place;take places
take-shape,takeshape;takeshapes;take shape;take shapes
take-the-initiative,taketheinitiative;taketheinitiatives;take the initiative;take the initiatives
take-the-law-into-your-own-hands,takethelawintoyourownhands;takethelawintoyourownhandss;take the law into your own hands;take the law into your own handss
take-the-plunge,taketheplunge;taketheplunges;take the plunge;take the plunges
take-turns,taketurns;taketurnss;take turns;take turnss
take-your-breath-away,takeyourbreathaway;takeyourbreathaways;take your breath away;take your breath aways
take-your-time,takeyourtime;takeyourtimes;take your time;take your times
talk-show,talkshow;talkshows;talk show;talk shows
tell-the-difference,tellthedifference;tellthedifferences;tell the difference;tell the differences
test-results,testresults;testresultss;test results;test resultss
text-message,textmessage;textmessages;text message;text messages
thank-god,thankgod;thankgods;thank god;thank gods
thank-you,thankyou;thankyous;thank you;thank yous
that-kind-of-thing,thatkindofthing;thatkindofthings;that kind of thing;that kind of things
that-sort-of-thing,thatsortofthing;thatsortofthings;that sort of thing;that sort of things
the-air,theair;theairs;the air;the airs
the-army,thearmy;thearmys;the army;the armys
the-atmosphere,theatmosphere;theatmospheres;the atmosphere;the atmospheres
the-back,theback;thebacks;the back;the backs
the-basics,thebasics;thebasicss;the basics;the basicss
the-best,thebest;thebests;the best;the bests
the-blind,theblind;theblinds;the blind;the blinds
the-bottom-line,thebottomline;thebottomlines;the bottom line;the bottom lines
the-boys,theboys;theboyss;the boys;the boyss
the-bush,thebush;thebushs;the bush;the bushs
the-charts,thecharts;thechartss;the charts;the chartss
the-cold,thecold;thecolds;the cold;the colds
the-country,thecountry;thecountrys;the country;the countrys
the-crack-of-dawn,thecrackofdawn;thecrackofdawns;the crack of dawn;the crack of dawns
the-dark,thedark;thedarks;the dark;the darks
the-deceased,thedeceased;thedeceaseds;the deceased;the deceaseds
the-defense,thedefense;thedefenses;the defense;the defenses
the-dishes,thedishes;thedishess;the dishes;the dishess
the-east,theeast;theeasts;the east;the easts
the-elder,theelder;theelders;the elder;the elders
the-elderly,theelderly;theelderlys;the elderly;the elderlys
the-eldest,theeldest;theeldests;the eldest;the eldests
the-environment,theenvironment;theenvironments;the environment;the environments
the-extent-to-which,theextenttowhich;theextenttowhichs;the extent to which;the extent to whichs
the-first,thefirst;thefirsts;the first;the firsts
the-first-floor,thefirstfloor;thefirstfloors;the first floor;the first floors
the-first-person,thefirstperson;thefirstpersons;the first person;the first persons
the-following,thefollowing;thefollowings;the following;the followings
the-foreseeable-future,theforeseeablefuture;theforeseeablefutures;the foreseeable future;the foreseeable futures
the-former,theformer;theformers;the former;the formers
the-front,thefront;thefronts;the front;the fronts
the-future,thefuture;thefutures;the future;the futures
the-girls,thegirls;thegirlss;the girls;the girlss
the-globe,theglobe;theglobes;the globe;the globes
the-ground,theground;thegrounds;the ground;the grounds
the-ground-floor,thegroundfloor;thegroundfloors;the ground floor;the ground floors
the-headlines,theheadlines;theheadliness;the headlines;the headliness
the-hell,thehell;thehells;the hell;the hells
the-homeless,thehomeless;thehomelesss;the homeless;the homelesss
the-internet,theinternet;theinternets;the internet;the internets
the-labor-force,thelaborforce;thelaborforces;the labor force;the labor forces
the-labor-market,thelabormarket;thelabormarkets;the labor market;the labor markets
the-last,thelast;thelasts;the last;the lasts
the-last-minute,thelastminute;thelastminutes;the last minute;the last minutes
the-latter,thelatter;thelatters;the latter;the latters
the-law,thelaw;thelaws;the law;the laws
the-leadership,theleadership;theleaderships;the leadership;the leaderships
the-left,theleft;thelefts;the left;the lefts
the-main-thing,themainthing;themainthings;the main thing;the main things
the-matter,thematter;thematters;the matter;the matters
the-media,themedia;themedias;the media;the medias
the-middle,themiddle;themiddles;the middle;the middles
the-middle-class,themiddleclass;themiddleclasss;the middle class;the middle classs
the-military,themilitary;themilitarys;the military;the militarys
the-moon,themoon;themoons;the moon;the moons
the-movies,themovies;themoviess;the movies;the moviess
the-naked-eye,thenakedeye;thenakedeyes;the naked eye;the naked eyes
the-net,thenet;thenets;the net;the nets
the-news,thenews;thenewss;the news;the newss
the-next-best-thing,thenextbestthing;thenextbestthings;the next best thing;the next best things
the-next-thing-i-knew,thenextthingiknew;thenextthingiknews;the next thing i knew;the next thing i knews
the-norm,thenorm;thenorms;the norm;the norms
the-north,thenorth;thenorths;the north;the norths
the-odd,theodd;theodds;the odd;the odds
the-old-days,theolddays;theolddayss;the old days;the old dayss
the-opposite-sex,theoppositesex;theoppositesexs;the opposite sex;the opposite sexs
the-opposition,theopposition;theoppositions;the opposition;the oppositions
the-other-day,theotherday;theotherdays;the other day;the other days
the-other-way-around,theotherwayaround;theotherwayarounds;the other way around;the other way arounds
the-outside,theoutside;theoutsides;the outside;the outsides
the-passive,thepassive;thepassives;the passive;the passives
the-past,thepast;thepasts;the past;the pasts
the-people,thepeople;thepeoples;the people;the peoples
the-point,thepoint;thepoints;the point;the points
the-poor,thepoor;thepoors;the poor;the poors
the-present,thepresent;thepresents;the present;the presents
the-press,thepress;thepresss;the press;the presss
the-pros-and-cons,theprosandcons;theprosandconss;the pros and cons;the pros and conss
the-prosecution,theprosecution;theprosecutions;the prosecution;the prosecutions
the-public,thepublic;thepublics;the public;the publics
the-radio,theradio;theradios;the radio;the radios
the-ratings,theratings;theratingss;the ratings;the ratingss
the-rear,therear;therears;the rear;the rears
the-rest,therest;therests;the rest;the rests
the-rich,therich;therichs;the rich;the richs
the-right,theright;therights;the right;the rights
the-same,thesame;thesames;the same;the sames
the-same-thing,thesamething;thesamethings;the same thing;the same things
the-second-person,thesecondperson;thesecondpersons;the second person;the second persons
the-secret,thesecret;thesecrets;the secret;the secrets
the-sights,thesights;thesightss;the sights;the sightss
the-south,thesouth;thesouths;the south;the souths
the-spotlight,thespotlight;thespotlights;the spotlight;the spotlights
the-supernatural,thesupernatural;thesupernaturals;the supernatural;the supernaturals
the-third-person,thethirdperson;thethirdpersons;the third person;the third persons
the-throne,thethrone;thethrones;the throne;the thrones
the-top,thetop;thetops;the top;the tops
the-truth,thetruth;thetruths;the truth;the truths
the-turn-of-the-century,theturnofthecentury;theturnofthecenturys;the turn of the century;the turn of the centurys
the-unemployed,theunemployed;theunemployeds;the unemployed;the unemployeds
the-universe,theuniverse;theuniverses;the universe;the universes
the-upper-class,theupperclass;theupperclasss;the upper class;the upper classs
the-vote,thevote;thevotes;the vote;the votes
the-web,theweb;thewebs;the web;the webs
the-wee-hours,theweehours;theweehourss;the wee hours;the wee hourss
the-west,thewest;thewests;the west;the wests
the-wheel,thewheel;thewheels;the wheel;the wheels
the-whole-thing,thewholething;thewholethings;the whole thing;the whole things
the-working-class,theworkingclass;theworkingclasss;the working class;the working classs
the-young,theyoung;theyoungs;the young;the youngs
then-again,thenagain;thenagains;then again;then agains
these-days,thesedays;thesedayss;these days;these dayss
things-like-that,thingslikethat;thingslikethats;things like that;things like thats
think-ahead,thinkahead;thinkaheads;think ahead;think aheads
think-back,thinkback;thinkbacks;think back;think backs
think-twice,thinktwice;thinktwices;think twice;think twices
this-and-that,thisandthat;thisandthats;this and that;this and thats
thought-provoking,thoughtprovoking;thoughtprovokings;thought provoking;thought provokings
thread-a-needle,threadaneedle;threadaneedles;thread a needle;thread a needles
through-thick-and-thin,throughthickandthin;throughthickandthins;through thick and thin;through thick and thins
throw-caution-to-the-wind,throwcautiontothewind;throwcautiontothewinds;throw caution to the wind;throw caution to the winds
throw-in-the-towel,throwinthetowel;throwinthetowels;throw in the towel;throw in the towels
tie-the-knot,tietheknot;tietheknots;tie the knot;tie the knots
tighten-your-belt,tightenyourbelt;tightenyourbelts;tighten your belt;tighten your belts
time-after-time,timeaftertime;timeaftertimes;time after time;time after times
tin-can,tincan;tincans;tin can;tin cans
to-all-intents-and-purposes,toallintentsandpurposes;toallintentsandpurposess;to all intents and purposes;to all intents and purposess
to-be-honest,tobehonest;tobehonests;to be honest;to be honests
to-be-precise,tobeprecise;tobeprecises;to be precise;to be precises
to-begin-with,tobeginwith;tobeginwiths;to begin with;to begin withs
to-cap-it-off,tocapitoff;tocapitoffs;to cap it off;to cap it offs
to-date,todate;todates;to date;to dates
to-death,todeath;todeaths;to death;to deaths
to-do-so,todoso;todosos;to do so;to do sos
to-go,togo;togos;to go;to gos
to-make-a-long-story-short,tomakealongstoryshort;tomakealongstoryshorts;to make a long story short;to make a long story shorts
to-make-matters-worse,tomakemattersworse;tomakemattersworses;to make matters worse;to make matters worses
to-my-mind,tomymind;tomyminds;to my mind;to my minds
to-say-the-least,tosaytheleast;tosaytheleasts;to say the least;to say the leasts
to-spare,tospare;tospares;to spare;to spares
to-start-with,tostartwith;tostartwiths;to start with;to start withs
to-the-contrary,tothecontrary;tothecontrarys;to the contrary;to the contrarys
to-the-point,tothepoint;tothepoints;to the point;to the points
too-bad,toobad;toobads;too bad;too bads
tool-marks,toolmarks;toolmarkss;tool marks;tool markss
toss-and-turn,tossandturn;tossandturns;toss and turn;toss and turns
touch-and-go,touchandgo;touchandgos;touch and go;touch and gos
tour-guide,tourguide;tourguides;tour guide;tour guides
trace-evidence,traceevidence;traceevidences;trace evidence;trace evidences
traffic-jam,trafficjam;trafficjams;traffic jam;traffic jams
traffic-light,trafficlight;trafficlights;traffic light;traffic lights
trail-off,trailoff;trailoffs;trail off;trail offs
train-of-thought,trainofthought;trainofthoughts;train of thought;train of thoughts
travel-agent,travelagent;travelagents;travel agent;travel agents
trial-and-error,trialanderror;trialanderrors;trial and error;trial and errors
turn-of-events,turnofevents;turnofeventss;turn of events;turn of eventss
turn-out,turnout;turnouts;turn out;turn outs
turn-over-a-new-leaf,turnoveranewleaf;turnoveranewleafs;turn over a new leaf;turn over a new leafs
umbilical-cord,umbilicalcord;umbilicalcords;umbilical cord;umbilical cords
uncountable-noun,uncountablenoun;uncountablenouns;uncountable noun;uncountable nouns
under-control,undercontrol;undercontrols;under control;under controls
under-your-breath,underyourbreath;underyourbreaths;under your breath;under your breaths
under-your-nose,underyournose;underyournoses;under your nose;under your noses
unsure-of-yourself,unsureofyourself;unsureofyourselfs;unsure of yourself;unsure of yourselfs
up-and-down,upanddown;upanddowns;up and down;up and downs
up-to-a-point,uptoapoint;uptoapoints;up to a point;up to a points
up-to-date,uptodate;uptodates;up to date;up to dates
up-to-speed,uptospeed;uptospeeds;up to speed;up to speeds
upset-stomach,upsetstomach;upsetstomachs;upset stomach;upset stomachs
upside-down,upsidedown;upsidedowns;upside down;upside downs
urine-sample,urinesample;urinesamples;urine sample;urine samples
used-to,usedto;usedtos;used to;used tos
vanish-into-thin-air,vanishintothinair;vanishintothinairs;vanish into thin air;vanish into thin airs
vehicle-theft,vehicletheft;vehiclethefts;vehicle theft;vehicle thefts
very-much,verymuch;verymuchs;very much;very muchs
vice-versa,viceversa;viceversas;vice versa;vice versas
video-clip,videoclip;videoclips;video clip;video clips
video-game,videogame;videogames;video game;video games
virtual-reality,virtualreality;virtualrealitys;virtual reality;virtual realitys
vis-à-vis,visàvis;visàviss;vis à vis;vis à viss
visiting-hours,visitinghours;visitinghourss;visiting hours;visiting hourss
wait-a-minute,waitaminute;waitaminutes;wait a minute;wait a minutes
wait-a-moment,waitamoment;waitamoments;wait a moment;wait a moments
wait-and-see,waitandsee;waitandsees;wait and see;wait and sees
walk-the-dog,walkthedog;walkthedogs;walk the dog;walk the dogs
walkie-talkie,walkietalkie;walkietalkies;walkie talkie;walkie talkies
wash-up,washup;washups;wash up;wash ups
washing-machine,washingmachine;washingmachines;washing machine;washing machines
watch-out,watchout;watchouts;watch out;watch outs
wear-off,wearoff;wearoffs;wear off;wear offs
wear-thin,wearthin;wearthins;wear thin;wear thins
weather-forecast,weatherforecast;weatherforecasts;weather forecast;weather forecasts
web-page,webpage;webpages;web page;web pages
web-site,website;websites;web site;web sites
well-being,wellbeing;wellbeings;well being;well beings
what-with,whatwith;whatwiths;what with;what withs
whenever-possible,wheneverpossible;wheneverpossibles;whenever possible;whenever possibles
wherever-possible,whereverpossible;whereverpossibles;wherever possible;wherever possibles
will-have,willhave;willhaves;will have;will haves
with-a-heavy-heart,withaheavyheart;withaheavyhearts;with a heavy heart;with a heavy hearts
with-all-due-respect,withallduerespect;withallduerespects;with all due respect;with all due respects
with-all-your-heart,withallyourheart;withallyourhearts;with all your heart;with all your hearts
with-bated-breath,withbatedbreath;withbatedbreaths;with bated breath;with bated breaths
with-flying-colors,withflyingcolors;withflyingcolorss;with flying colors;with flying colorss
with-your-bare-hands,withyourbarehands;withyourbarehandss;with your bare hands;with your bare handss
without-delay,withoutdelay;withoutdelays;without delay;without delays
without-prejudice,withoutprejudice;withoutprejudices;without prejudice;without prejudices
word-for-word,wordforword;wordforwords;word for word;word for words
work-out,workout;workouts;work out;work outs
worse-and-worse,worseandworse;worseandworses;worse and worse;worse and worses
worst-of-all,worstofall;worstofalls;worst of all;worst of alls
would-appreciate,wouldappreciate;wouldappreciates;would appreciate;would appreciates
would-rather,wouldrather;wouldrathers;would rather;would rathers
would-sooner,wouldsooner;wouldsooners;would sooner;would sooners
x-ray,xray;xrays;x ray;x rays
yet-again,yetagain;yetagains;yet again;yet agains
you-know,youknow;youknows;you know;you knows
you-name-it,younameit;younameits;you name it;you name its
you-never-know,youneverknow;youneverknows;you never know;you never knows
you-see,yousee;yousees;you see;you sees
your-best-bet,yourbestbet;yourbestbets;your best bet;your best bets
your-elders,yourelders;yourelderss;your elders;your elderss
your-own-flesh-and-blood,yourownfleshandblood;yourownfleshandbloods;your own flesh and blood;your own flesh and bloods
your-world,yourworld;yourworlds;your world;your worlds
yours-sincerely,yourssincerely;yourssincerelys;yours sincerely;yours sincerelys
zoonotic-disease,zoonoticdisease;zoonoticdiseases;zoonotic disease;zoonotic diseases
